image_id,bboxes,kfold,label
000a312787f2,"[[0.1854530921052631, 0.166981178325688, 0.4266788016917293, 0.7166666485091744], [0.5277049060150376, 0.1694969266055045, 0.7849092340225564, 0.6745283027522936]]",0,opacity
0012ff7358bc,"[[0.5866134293193718, 0.1582360455974842, 0.7885202814136125, 0.6316472091194968], [0.221669554973822, 0.0778209984276729, 0.5056347611256544, 0.4708171226415094]]",1,opacity
001398f4ff4f,"[[0.6376168224299066, 0.6196969630681818, 0.8591121775700935, 0.7912878721590909]]",4,opacity
001bd15d1891,"[[0.7566216578638497, 0.3566666678571428, 0.951066103286385, 0.7566666678571429], [0.1828736150234741, 0.375, 0.3923806572769953, 0.77]]",4,opacity
0022227f5adf,"[[0.6089201639344263, 0.2001991532099251, 0.7322078163934426, 0.3575560299330445]]",4,opacity
002e9b2128d0,"[[0.096354167827298, 0.2596977152317881, 0.4134114763231197, 0.945051684602649], [0.649088541086351, 0.3084547019867549, 0.9537760828690808, 0.943843311258278]]",2,opacity
00326161e51e,"[[0.6147597108603667, 0.3349436087328767, 0.8318912023977433, 0.6650563527397261], [0.1914529513399153, 0.1559814083904109, 0.3996203032440056, 0.5368807448630137]]",1,opacity
0044e449aae1,"[[0.1614671720733427, 0.421666665239726, 0.3921018688293371, 0.6283333304794521], [0.6007713540197461, 0.401666665239726, 0.9220125387870238, 0.761666665239726]]",2,opacity
0049814626c8,"[[0.1245901624293785, 0.2391860086206896, 0.2360655602636534, 0.7261278189655173], [0.713661179378531, 0.3178971063218391, 0.8688524905838041, 0.768818525862069]]",0,opacity
004cbd797cd1,"[[0.5412902372994652, 0.3743573821464392, 0.835850905748663, 0.802515115346038], [0.1721877306149732, 0.3911950484787696, 0.4607369217914439, 0.7892855232363757]]",0,opacity
0060e4f54aa8,"[[0.7754891872065728, 0.4116286642857142, 0.9526261766431924, 0.78266295], [0.1441812558685446, 0.3702633535714286, 0.2883625117370892, 0.7450580571428571]]",1,opacity
006e2ac85d57,"[[0.2606924637203166, 0.2110149712643678, 0.4256619162269129, 0.73068091954023], [0.6221995910290238, 0.216084880952381, 0.8014256629287599, 0.5874559195402299]]",2,opacity
007b2567d83e,"[[0.0990898483779971, 0.1852688827054794, 0.3894415021156558, 0.7140171746575342], [0.4967454019746121, 0.2137315239726027, 0.8060329619181947, 0.6877439383561643]]",3,opacity
007cf31356c6,"[[0.1522311983082706, 0.58, 0.4486347062969925, 0.8266666657110091], [0.740940472274436, 0.4766666657110091, 0.9745119431390976, 0.8183333314220184]]",3,opacity
008ca392cff3,"[[0.538720537735849, 0.3858186149425287, 0.7800224528301887, 0.778274459770115]]",2,opacity
008ff73b4ef3,"[[0.1431513909774436, 0.2128610407110091, 0.4140061677631579, 0.710484764908257], [0.6807415037593985, 0.2618694409403669, 0.8970133858082706, 0.7808558543577981]]",2,opacity
00a129830f4e,"[[0.174978134696756, 0.5033534118150685, 0.3926721544428773, 0.7880776541095891]]",4,opacity
00b0891276a3,"[[0.5518610498687664, 0.195, 0.8264280216535433, 0.7716666679810725], [0.1608111811023622, 0.195, 0.3979371653543307, 0.8283333320189274]]",4,opacity
00b767b49fcd,"[[0.627437115249473, 0.4599999999999999, 0.8866898664792693, 0.7716666652360515], [0.222184128601546, 0.395, 0.4623340477863669, 0.6716666652360516]]",3,opacity
00b8180bd3a8,"[[0.6392160728609626, 0.5460027449013708, 0.9061231784759358, 0.8202151922433969], [0.0612178877005347, 0.5063141223671013, 0.4101809057486631, 0.7697025142092946]]",0,opacity
